# Plurality概念マップ: 章間リンクの包括的発見

## 全セクションの概念一覧:

セクション 0-2:
  - 円環的な構成
  - 非線形読書とハイパーリンク
  - 興味別の読み始め推奨
  - リビングドキュメント（本は生き物）
  - 最新版の入手方法
  - 参加型コラボレーション（GitHub）
  - 誤りは修正の招待
  - カスタマイズと無償利用
  - オンライン版

セクション 1-0:
  - 多元性
  - 數位（語義の二重性）
  - デジタル技術
  - 協働テクノロジー
  - 分断／ポラリゼーション
  - グローバル化と格差
  - 巨大ハイテク企業の台頭
  - 民主主義の衰退
  - インターネットの両義性
  - ポジティブなビジョンと行動

セクション 2-0:
  - 反社会的脅威
  - 中央集権的脅威
  - 監視資本主義
  - テックラッシュ
  - 公的R＆D投資の低下
  - デジタル公共サービスの遅れ
  - ソーシャルメディアの分断
  - 労働の空洞化と所得格差
  - 専制主義によるIT活用
  - 民主主義のITへの敵意

セクション 2-1:
  - プレート交差点
  - 多元主義
  - デジタル民主主義
  - ひまわり学生運動
  - 三民主義
  - 政党のアイデンティティ対立
  - 日本統治
  - 土地改革と合作事業
  - 半導体と輸出指向経済
  - 世界的な十字路

セクション 2-2:
  - 零時政府（g0v）
  - vTaiwan
  - Join
  - Polis（意見クラスタリング）
  - ハッカソン（揪松團）
  - クアドラティック投票
  - マスクアプリ（パンデミック対応）
  - Cofacts（群衆ファクトチェック）
  - PDIS（公共デジタルイノベーションスペース）
  - データ透明性／開放政府

セクション 3-0:
  - プルラリティ（多元性）
  - 記述的多元性
  - 規範的多元性
  - 処方的多元性
  - 交差性（インターセクショナル）
  - 一元論的アトム主義
  - 數位（台湾華語の二重性）
  - 技術と民主主義の相互作用
  - ⿻（ユニコード記号）

セクション 3-1:
  - 一元論的アトム主義
  - 複雑系（複雑性）
  - カオス／カオスの縁
  - 自己組織化する臨界性
  - 計算複雑性
  - ゲーデルの不完全性定理
  - フラクタル
  - 生態系（相利共生）
  - 神経科学の分布性とヘッブ学習
  - 関係性／ネットワーク社会学

セクション 3-2:
  - 近代性の限界
  - 私有財産（財産制度）
  - アイデンティティ／ID
  - 投票（一人一票）
  - ネットワーク化された価値（ヘンリー・ジョージ）
  - ジンメルの交差的アイデンティティ
  - 創発的公衆（ジョン・デューイ）
  - 技術と相互依存
  - 市場の失敗とスーパーモジュラリティ
  - アトム主義と個人の抽象化

セクション 3-3:
  - ARPA（高等研究計画局）
  - 人間とコンピュータの共生
  - ARPANET
  - パケット交換（分散通信）
  - ハイパーテキスト
  - RFC（Request for Comments）プロセス
  - TCP／IP（伝送制御およびインターネットプロトコル）
  - エンゲルバートのNLSとパーソナルインターフェース
  - インターネットの三つの革新
  - ネットワークのネットワーク（分散的相互運用）

セクション 4-0:
  - 権利
  - オペレーティングシステム（OS）
  - 民主主義における権利の役割
  - ダイナミズム
  - 権利と関係性
  - OSとアプリケーションの相互作用
  - デジタルプロトコル／基盤
  - ハイパーグラフ
  - デジタル公共インフラ
  - 言論の自由の変化（IT時代）

セクション 4-1:
  - デジタルID
  - 身元の確立
  - 身元の保護
  - 生体認証
  - シングルサインオン（SSO）
  - 相互運用性
  - 検証可能な資格情報（VC）
  - 回復（認証情報の回復）
  - 公共分散デジタルID（大規模国家プロジェクト）
  - 確立と保護のジレンマ

セクション 4-2:
  - 団体（アソシエーション）
  - 結社の自由
  - 共有知識
  - 共有信念・共通の意図
  - 文脈の確立
  - 文脈の保護
  - ⿻公衆
  - 分散型台帳技術（DLT）／ブロックチェーン
  - 暗号技術とプライバシー強化技術（PET）
  - 過剰共有（oversharing）

セクション 4-3:
  - 即時決済技術
  - 中央銀行デジタル通貨（CBDC）
  - 暗号資産とビットコイン
  - 分散型台帳技術（DLT）
  - 部分準備銀行制度
  - 自動決済機関（ACH）
  - コンテキストの完全性（プライバシー）
  - SWIFTと国際送金
  - 電子決済プラットフォーム
  - お金の起源と帳簿（クレジット優先）

セクション 4-4:
  - デジタル資産
  - ストレージ
  - 計算
  - データ
  - 資産の休眠・無駄
  - クラウド中央集権
  - IPFS（分散ストレージ）
  - 契約の不完備性
  - 財産の三属性
  - データの集団性とガバナンス

セクション 4-5:
  - インターネットアクセス
  - 情報の完全性
  - デジタルデバイド
  - デジタルインフラ
  - セマンティックセキュリティ
  - オープンガバメントデータ
  - 耐性とレジリエンス（DDoS対策）
  - 政策立案者の役割
  - デジタル民主主義

セクション 5-0:
  - 協働テクノロジー
  - ⿻社会プロトコル
  - スーパーモジュラリティ
  - 多様性をまたがるコラボレーション
  - 深さと広さのトレードオフ
  - 生産可能性フロンティア（PPF）
  - 熟議と投票のトレードオフ
  - 多様性の再生
  - 連帯感と文化による障害
  - 拙速な最適化と社会厚生関数の危険

セクション 5-1:
  - ポスト表象コミュニケーション
  - 深部感覚
  - 神経インターフェース
  - 媒介現実
  - 生成基盤モデル（GFM）
  - ホムンクルス柔軟性
  - 生理学的同期
  - 化学信号／嗅覚
  - 倫理的課題
  - 共感と集合意識

セクション 5-2:
  - 没入型共有現実（ISR）
  - 媒介現実
  - VR/AR/MR
  - 多感覚統合
  - 触覚・嗅覚・味覚技術
  - アクセシビリティと包摂性
  - アフェクティブコンピューティング
  - 環境・気候のシミュレーション教育
  - バーチャル共創とデジタル製造
  - 倫理的懸念と参加型統治

セクション 5-3:
  - 賞金コンテストによる協働
  - オンラインコラボレーション
  - クラウドベースのクリエイティブソフト
  - オープンソースプロジェクト
  - 生成基盤モデル（GFM）
  - デジタルツインとシミュレーション
  - 集団的創造性
  - プライバシーと自律性
  - 創造性の均質化
  - デジタル格差

セクション 5-4:
  - エコーチェンバー
  - 協調フィルタリング（ニュースフィードアルゴリズム）
  - コミュニティノート
  - 橋渡しシステム
  - 対面での会合
  - 書き言葉（文書コミュニケーション）
  - 多様性と帯域幅のトレードオフ
  - 代表選出の方式
  - Polis（集合応答システム）
  - GFM（生成基盤モデル）と拡張熟議

セクション 5-5:
  - 適応型管理行政
  - 官僚制度
  - 構造化された情報形式
  - 硬直性
  - 複雑性／ややこしさ
  - 生成基盤モデル（GFM）
  - 機械学習・ニューラルネットワーク
  - バッジ制度（マイクロバッジ・メゾバッジ）
  - 言語・文化の翻訳とアクセス
  - 偏見と限界（GFMの危険性）

セクション 5-6:
  - クアドラティック投票
  - 多数決ルール
  - 優先順位付投票と認定投票
  - 加重投票
  - 逓減比例／平方根投票（ペンローズ）
  - 液体民主主義
  - 予測投票（Futarchy）
  - 相関割引と固有投票
  - 適応型代表制
  - 支援付きリアルタイム投票

セクション 5-7:
  - クアドラティック資金調達
  - オープンソースソフトウェアの資金調達課題
  - スーパーモジュラリティと収穫逓増
  - 公共財
  - 外部性
  - 市場支配力（独占）
  - メカニズムデザイン / マーケットデザイン
  - 部分的な共通所有権
  - ステークホルダー企業
  - 循環投資（ヘンリー・ジョージ定理）

セクション 6-0:
  - ⿻
  - 変化の理論
  - 社会革命のグラフ構造
  - シードコミュニティの基準
  - ランダム化対照実験（RCT）
  - 参加型アクションリサーチ（PAR） / コミュニティベースのイノベーション
  - ブリッツスケーリング
  - 平方根スケール（肥沃な土壌）
  - 技術の波及効果と害
  - ⿻マーケティング

